Name,Full_Name,Current,Description,Photo,FPG,FPT,PPG,YPG,RPG
A Madley,Andy Madley,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
A Marriner,Andre Marriner,1,This is the default description for referees,https://www.thesun.co.uk/wp-content/uploads/2018/10/NINTCHDBPICT000434355411.jpg,21.5,0.55,0.2,3.22,0.18
A Taylor,Anthony Taylor,1,This is the default description for referees,https://s.hs-data.com/bilder/spieler/gross/132559.jpg,21.61,0.59,0.26,3.47,0.13
A Wiley,Alan Wiley,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
C Foy,Chris Foy,0,This is the default description for referees,https://static.standard.co.uk/s3fs-public/thumbnails/image/2012/01/03/09/chris-foy-415x275.jpg?w968,,,,,
C Kavanagh,Chris Kavanagh,1,This is the default description for referees,https://i2-prod.football.london/incoming/article14997429.ece/ALTERNATES/s615/2_Chris-Kavanagh.jpg,19.98,0.58,0.23,3.29,0.08
C Pawson,Craig Pawson,1,This is the default description for referees,https://i.dailymail.co.uk/i/pix/2016/12/17/19/3B79152A00000578-0-Pawson_showed_a_red_card_to_Leicester_City_striker_Jamie_Vardy_o-a-12_1482004004354.jpg,22.34,0.63,0.2,3.42,0.18
D Coote,David Coote,1,This is the default description for referees,https://cdn.hitc-s.com/i/1619/referee_david_coote_during_the_premier_league_match_between_asto_1370579.jpg,23.5,0.69,0.17,3.39,0.06
G Scott,Graham Scott,1,This is the default description for referees,http://www4.pictures.zimbio.com/gi/Graham+Scott+Brighton+Hove+Albion+v+Liverpool+N4F6mHRdFDgl.jpg,19.81,0.6,0.24,2.59,0.15
H Webb,Howard Webb,0,This is the default description for referees,https://i2-prod.dailystar.co.uk/incoming/article19034608.ece/ALTERNATES/s615/0_Howard-Webb-Referee-VAR.jpg,,,,,
J Moss,Jonathan Moss,1,This is the default description for referees,https://static.independent.co.uk/s3fs-public/thumbnails/image/2016/04/18/18/jonathan-moss.jpg?w968h681,22.16,0.63,0.31,3.4,0.15
K Friend,Kevin Friend,1,This is the default description for referees,https://talksport.com/wp-content/uploads/sites/5/2019/04/GettyImages-1138755814.jpg?strip=all&w=960&quality=100,22.78,0.64,0.25,3.5,0.12
K Stroud,Keith Stroud,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
L Mason,Lee Mason,1,This is the default description for referees,https://i2-prod.mirror.co.uk/incoming/article1338100.ece/ALTERNATES/s615/West-Ham-United-v-Sunderland--Premier-League.jpg,22.88,0.63,0.25,3.03,0.14
l Mason,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
L Probert,Lee Probert,0,This is the default description for referees,https://s.hs-data.com/bilder/spieler/gross/38119.jpg,,,,,
M Atkinson,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
M Clattenburg,Mark Clattenburg,0,This is the default description for referees,https://i2-prod.mirror.co.uk/incoming/article14279919.ece/ALTERNATES/s615/0_Mark-Clattenburg-File-Photo.jpg,,,,,
M Dean,Mike Dean,1,This is the default description for referees,https://d2x51gyc4ptf2q.cloudfront.net/content/uploads/2019/02/20084259/Mike-Dean-Football365.jpg,22.13,0.58,0.33,3.74,0.19
M Halsey,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
M Jones,Mike Jones,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
M Oliver,Michael Oliver,1,This is the default description for referees,https://i.dailymail.co.uk/i/newpix/2018/04/12/15/4B0E8C8B00000578-5608461-image-a-16_1523543845193.jpg,22.47,0.6,0.3,3.2,0.14
Mn Atkinson,Martin Atkinson,1,This is the default description for referees,https://en.as.com/futbol/imagenes/2017/04/30/champions/1493547282_184270_1493547383_noticia_normal.jpg,22.75,0.59,0.24,3.43,0.16
N Swarbrick,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
P Dowd,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
P Tierney,Paul Tierny,1,This is the default description for referees,https://pbs.twimg.com/media/DcvW1b3WsAANJdN.jpg,21.9,0.66,0.15,2.99,0.04
P Walton,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
R East,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
R Madley,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
S Attwell,Stuart Attwell,1,This is the default description for referees,https://pbs.twimg.com/media/DrUh7GlWkAAqJyE.jpg,21.2,0.58,0.19,3.41,0.11
S Bennett,Steve Bennet,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
S Hooper,Simon Hooper,1,This is the default description for referees,https://www.scfc2.co.uk/wp-content/uploads/2018/09/Simon-Hooper.jpg,22.79,0.68,0.21,2.71,0.07
St Bennett,,0,This is the default description for referees,https://st2.depositphotos.com/2129849/12067/v/950/depositphotos_120671058-stock-illustration-i-love-football.jpg,,,,,
P Bankes,Peter Bankes,1,This is the default description for referees,https://pbs.twimg.com/media/D0WH4VvXgAAUXFW.jpg,24.62,0.76,0.23,4.13,0.16
O Langford,Oliver Langford,1,This is the default description for referees,https://www.bwfc.co.uk/siteassets/image/news-images/langford.jpg/Large,21.9,0.66,0.31,2.79,0.13
